BBOalert
Option
,1C,See chat message#16+; any distribution except 16-23 with 4441 distribution
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3H--3S--3N--,4N,Asking for any concealed 4 card Minor
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3H--3S--3N--4N--,5D,I have 4-cards in !D
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3S--,3N,To Play
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3S--,4H,Signoff 
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3S--,4S,To Play
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3N--,4N,Asking for any concealed 4 card Minor
1C--1D--1H--1S--1N--2D--2H--2S--3C--3D--3N--4N--,5D,I have 4-cards in !D
1C--1D--1H--1S--1N--2D--2H--2S--3C--3H--,3S,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--3H--,3N,No ther 4-card Suit
1C--1D--1H--1S--1N--2D--2H--2S--3C--3H--3N--,4N,Asking for any concealed 4 card Minor
1C--1D--1H--1S--1N--2D--2H--2S--3C--3H--3N--4N--,5D,I have 4-cards in !D
1C--1D--1H--1S--1N--2D--2H--2S--3C--3S--,3N,Nothing else to say
1C--1D--1H--1S--1N--2D--2H--2S--3C--3S--3N--,4N,Asking for any concealed 4 card Minor
1C--1D--1H--1S--1N--2D--2H--2S--3C--3S--3N--4N--,5D,I have 4-cards in !D
1C--1D--1H--1S--1N--2D--2H--2S--3D--,3H,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3D--,3S,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3D--,3N,To Play
1C--1D--1H--1S--1N--2D--2H--2S--3D--3H--,3S,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3D--3H--,3N,Nothing else to say
1C--1D--1H--1S--1N--2D--2H--2S--3D--3H--3S--,3N,Sign off
1C--1D--1H--1S--1N--2D--2H--2S--3D--3H--3S--,4S,Sign off
1C--1D--1H--1S--1N--2D--2H--2S--3D--3H--3N--,4N,Forcing 
1C--1D--1H--1S--1N--2D--2H--2S--3D--3H--3N--4N--,5C,Non-forcing 
1C--1D--1H--1S--1N--2D--2H--2S--3D--3S--,3N,Nothing else to say
1C--1D--1H--1S--1N--2D--2H--2S--3H--,3S,4 cards in the Suit
1C--1D--1H--1S--1N--2D--2H--2S--3H--,3N,To Play
1C--1D--1H--1S--1N--2D--2H--2S--3H--3S--,3N,Nothing else to say
1C--1D--1H--1S--1N--2D--2H--2S--3S--,3N,Sign Off
1C--1D--1H--1S--1N--2D--2H--2S--3S--,4S,To Play
1C--1D--1H--1S--1N--2D--2H--4C--,4D,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2H--4C--,4H,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2H--4C--,4S,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2H--4C--,4N,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2H--4C--,5C,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2H--4C--,5D,7+ ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2S--,2N,Shows the inv hand with no 4-card !H; or a hand with 5+ !H and no game interest. Tells Opener to bid suits up-the-line.
1C--1D--1H--1S--1N--2D--2S--,3C,Cue-bid for !H
1C--1D--1H--1S--1N--2D--2S--,3D,Cue-bid for !H; denying a !C Control
1C--1D--1H--1S--1N--2D--2S--,3H,Eta; trump asking in !H
1C--1D--1H--1S--1N--2D--2S--,3S,Cue bid for !H; !S Control and 1st Round Control of both Minors
1C--1D--1H--1S--1N--2D--2S--,3N,To Play
1C--1D--1H--1S--1N--2D--2S--,4C,Beta; General Control Ask. Agrees !H as trumps
1C--1D--1H--1S--1N--2D--2S--,4H,Shows the inv-type hand with 4-card !H
1C--1D--1H--1S--1N--2D--2S--2N--,3C,4-card !C
1C--1D--1H--1S--1N--2D--2S--2N--,3D,No 4-card !C; 4-card !D
1C--1D--1H--1S--1N--2D--2S--2N--,3H,No 4cm
1C--1D--1H--1S--1N--2D--2S--3H--,3S,Jxxx or worse in !H
1C--1D--1H--1S--1N--2D--2S--3H--,3N,Hxxx in !H (No Jack)
1C--1D--1H--1S--1N--2D--2S--3H--,4C,HJxx in !H
1C--1D--1H--1S--1N--2D--2S--3H--,4D,HHxx in !H (No Jack)
1C--1D--1H--1S--1N--2D--2S--3H--,4H,HHJx in !H
1C--1D--1H--1S--1N--2D--2S--3H--,4S,HHHx in !H
1C--1D--1H--1S--1N--2D--2S--4C--,4D,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2S--4C--,4H,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2S--4C--,4S,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2S--4C--,4N,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2S--4C--,5C,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--2S--4C--,5D,7+ ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3C--,3D,Cue-bid for !H
1C--1D--1H--1S--1N--2D--3C--,3H,To play; 5+ !H with no game interest
1C--1D--1H--1S--1N--2D--3C--,3S,Shows the inv-type hand with no 4-card !H but 4-card !S
1C--1D--1H--1S--1N--2D--3C--,3N,To Play; showing an inv-type hand with no 4-card !H or !S
1C--1D--1H--1S--1N--2D--3C--,4C,Beta; General Control Ask. Agrees !H as trumps
1C--1D--1H--1S--1N--2D--3C--,4H,Shows the inv-type hand with 4-card !H
1C--1D--1H--1S--1N--2D--3C--4C--,4D,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3C--4C--,4H,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3C--4C--,4S,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3C--4C--,4N,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3C--4C--,5C,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3C--4C--,5D,7+ ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2D--3D--,3H,To Play; 5+ !H with no game interest
1C--1D--1H--1S--1N--2D--3D--,3S,Shows the inv-type hand with 4-card !S but no 4-card !H
1C--1D--1H--1S--1N--2D--3D--,3N,To Play; showing the inv-type hand with no 4CM
1C--1D--1H--1S--1N--2D--3D--,4C,Beta; General Control Ask. Agrees !H as trumps
1C--1D--1H--1S--1N--2D--3D--,4H,To Play
1C--1D--1H--1S--1N--2D--3D--4C--,4D,0-2 ctrls. (A=2 K=1)
