BBOalert
1.,7},Please read chat#ra 1.7 - based on Garozzo's system for Italian Junior team and a little modification\\[Defensive bidding]\\-jump overcall 10-13 HCP; 6+ cards\\-normal overcall 0-16 HCP if very weak then 6+ cards & preemptive\\-take-out double 13-16 HCP and 3+ cards other suits OR 17+ HCP; any shape\\-Michael's + UNT\\-beware of prebalance t/o doubles and suit bids (10+ HCP)
1H--1S--1N--2N--3C--,3S,5+!s-5+!c GF
1H--1S--1N--2N--3C--,4C,Please read chat#6+ solid or semi-solid !s; serious slam try; cue
1H--1S--1N--2N--3C--,4D,Please read chat#6+ solid or semi-solid !s; serious slam try; cue
1H--1S--1N--2N--3C--,4H,Please read chat#6+ solid or semi-solid !s; serious slam try; cue
1H--1S--1N--2N--3C--,--,!c signoff; 6+!c
1H--1S--1N--,2S,
1H--1S--1N--,3C,4!s-5+!c; 9-11
1H--1S--1N--,3D,4!s-5+!d 9-11
1H--1S--1N--,3H,5+!s-3+!h; GF
1H--1S--1N--,3S,6+!s; good suit but not great; GF
1H--1S--1N--,4C,splinter for !h; mild slam interest
1H--1S--1N--,4D,splinter for !h; mild slam interest
1H--1S--1N--,4H,
1H--1S--,2C,Please read chat#Gazilli:                                      a) 3+!c 11+                             b) all 17+ HCP hands
1H--1S--2C--,2D,8(7)+ HCP relay; GF opposite 17+
1H--1S--2C--2D--,2H,5+!h-3+!c 11-16; maximum if 5-3 or 6-4
1H--1S--2C--2D--2H--,2S,5+!s; relay; invite+
1H--1S--2C--2D--2H--2S--,2N,5!h-4+!c minimum; denies 3!s
1H--1S--2C--2D--2H--2S--,3C,5+!h-5+!c minimum
1H--1S--2C--2D--2H--2S--,3D,Please read chat#max; 5!h-4!c or 5!h-3-3-2!s; no !d stopper
1H--1S--2C--2D--2H--2S--,3H,6!h-4!c maximum
1H--1S--2C--2D--2H--2S--,3N,5!h-3-3-2!s; maximum; !d stopper
1H--1S--2C--2D--2H--2S--,3S,5!h-3!s; maximum
1H--1S--2C--2D--2H--2S--,4C,splinter !d
1H--1S--2C--2D--2H--2S--,4D,splinter !d
1H--1S--2C--2D--2H--,3C,
1H--1S--2C--2D--2H--,3D,GF; asks !d stopper
1H--1S--2C--2D--2H--,3S,6+!s GF
1H--1S--2C--2D--,2N,5!h-(332) 16-17
1H--1S--2C--2D--2N--,3C,relay for stoppers or 3!s
1H--1S--2C--2D--2N--3C--,3D,!d stopper; no !c stopper; may have 3!s
1H--1S--2C--2D--2N--3C--,3H,!c stopper; no !d stopper; may have 3!s
1H--1S--2C--2D--2N--3C--,3N,both minors stopped; denies 3!s
1H--1S--2C--2D--2N--3C--,3S,Please read chat#3!s; either both minor stoppers or no minor stoppers
1H--1S--2C--2D--2N--3C--3S--,3N,Please read chat#to play opposite both minor stoppers; but not opposite no minor stoppers
1H--1S--2C--2D--2N--,3D,4!s-5+!d 7-10; GF
1H--1S--2C--2D--2N--,3H,4!s-5+!c 7-10; GF
1H--1S--2C--2D--2N--,3S,6+!s GF
1H--1S--2C--2D--,2S,5+!h-3+!s 17+
1H--1S--2C--2D--2S--,2N,relay
1H--1S--2C--2D--2S--2N--,3C,5!h-4!c-3!s-1!d; 17+
1H--1S--2C--2D--2S--2N--,3D,5!h-4!d-3!s-1!c 17+
1H--1S--2C--2D--2S--2N--,3H,6+!h-3!s 17+
1H--1S--2C--2D--2S--2N--,3N,5!h-3!s-(3-2); 17-20
1H--1S--2C--2D--2S--2N--,3S,5!h-4!s-2-2 17+
1H--1S--2C--2D--2S--2N--,4C,5+!h-4!s; splinter; 17+
1H--1S--2C--2D--2S--2N--,4D,5+!h-4!s; splinter; 17+
1H--1S--2C--2D--,3C,5+!h-4+!c; 17+; denies 3!s
1H--1S--2C--2D--,3D,5+!h-4+!d; 17+; denies 3!s
1H--1S--2C--2D--3D--,3H,
1H--1S--2C--2D--3D--3H--,3S,
1H--1S--2C--2D--3D--3H--3S--,4D,
1H--1S--2C--2D--,3H,6+!h; 17+; denies 3!s
1H--1S--2C--2D--,3N,5!h-3-3-2!s; 18-20
1H--1S--2C--,2H,4-6(7); 2-3!h
1H--1S--2C--,2N,5+!d; short !h; 4-6(7)
1H--1S--2C--,2S,5+!s; short !h; 4-6(7)
1H--1S--2C--,3C,5+!c; short !h; 4-6(7)
1H--1S--2C--,3D,5+!s-5+!d 8-10
1H--1S--2C--,3H,4+!s-3!h; 9-11
1H--1S--2C--,3S,6+!s 9-11
1H--1S--,2D,Please read chat#5+!h-3+!d; 11-16 (if 5-3 or 6-4 then maximum)
1H--1S--2D--,2H,
1H--1S--2D--,2S,
1H--1S--2D--,3C,GF relay
1H--1S--2D--3C--,3D,5+!d or waiting
1H--1S--2D--3C--3D--,3H,asks which
1H--1S--2D--3C--3D--3H--,3N,5+!d
1H--1S--2D--3C--3D--3H--,3S,no !c stopper
1H--1S--2D--3C--3D--,3S,6+!s
1H--1S--2D--3C--,3H,6+!h-4!d maximum
1H--1S--2D--3C--,3N,!c stopper; denies 3!s
1H--1S--2D--3C--,3S,3!s
1H--1S--2D--,3D,
1H--1S--2D--,3H,
1H--1S--2D--,3S,
1H--1S--2D--,4C,3+!h; splinter; mild slam interest
1H--1S--2D--,4D,3+!h; splinter; mild slam interest
1H--1S--2D--,4H,
1H--1S--2D--,4S,
1H--1S--,2H,6+!h; 11-14; may have side 4-crd minor
1H--1S--2H--,2S,5+!s
1H--1S--2H--,3C,GF; suit or stopper
1H--1S--2H--,3D,GF; suit or stopper
1H--1S--2H--,3H,
1H--1S--2H--,3S,
1H--1S--2H--,4C,2!h; cue; mild slam interest
1H--1S--2H--,4D,2!h; cue; mild slam interest
1H--1S--2H--,4H,
1H--1S--2H--,4S,
1H--1S--,2N,Please read chat#6+!h; 4-crd suit suit; 4-5 losers; max 20 HCP
1H--1S--2N--,3C,GF relay
1H--1S--2N--3C--,3D,6+!h-4!s
1H--1S--2N--3C--,3H,6+!h-4!d
1H--1S--2N--3C--,3S,6+!h-4!c
1H--1S--2N--,3D,4!s-5+!d; signoff attempt
1H--1S--2N--,3H,signoff attempt
1H--1S--2N--,3S,signoff attempt
1H--1S--,2S,5+!h-4!s; 11-14
1H--1S--2S--,2N,asks shortness
1H--1S--2S--2N--,3C,2-2
1H--1S--2S--2N--,3D,short !d
1H--1S--2S--2N--,3H,short !c
1H--1S--2S--,3C,invite splinter
1H--1S--2S--,3D,invite splinter
1H--1S--2S--,3S,
1H--1S--2S--,4C,5+!s; splinter; slam interest
1H--1S--2S--,4D,5+!s; splinter; slam interest
1H--1S--,3C,11-15; 5+!h-5+!c; 5-5.5 losers
1H--1S--,3D,11-15; 5+!h-5+!d; 5-5.5 losers
1H--1S--,3H,6+!h; 14-16
1H--1S--,3N,to play; 7 solid !h; minor stoppers
1H--1S--,3S,5!h-4!s 14-16 unbalanced
1H--1S--3S--,3N,asks for shortness
1H--1S--3S--3N--,4C,2-2 15-16
1H--1S--3S--3N--,4D,short !d
1H--1S--3S--3N--,4H,short !c
1H--1S--,4C,6+!h-4!s; splinter; 13-16
1H--1S--,4D,6+!h-4!s; splinter; 13-16
1H--,2C,Please read chat#a) GF relay; usually 3+!c\\b) 6+!c invite\\c) bal; GF
1H--2C--,2D,11-15; denies 4+!s
1H--2C--2D--,2H,GF relay
1H--2C--2D--2H--,2N,1-suiter
1H--2C--2D--2H--2N--,3C,relay
1H--2C--2D--2H--2N--3C--,3D,6+!h; unbalanced
1H--2C--2D--2H--2N--3C--3D--,3H,asks shortness
1H--2C--2D--2H--2N--3C--3D--3H--,3N,short !d
1H--2C--2D--2H--2N--3C--3D--3H--,3S,short !s
1H--2C--2D--2H--2N--3C--3D--3H--,4C,short !c
1H--2C--2D--2H--2N--3C--,3H,6+!h balanced
1H--2C--2D--2H--2N--3C--,3N,5!h; minimum
1H--2C--2D--2H--2N--3C--,3S,5!h; maximum
1H--2C--2D--2H--2N--,3D,5+!c; slam interest
1H--2C--2D--2H--2N--,3H,sets !h; 5+!c usually
1H--2C--2D--2H--,2S,4+!d
1H--2C--2D--2H--2S--,2N,shape ask; GAR relay
1H--2C--2D--2H--2S--2N--,3C,5!h-4!d
1H--2C--2D--2H--2S--2N--3C--,3D,asks shortness; denies !h interest
1H--2C--2D--2H--2S--2N--3C--3D--,3H,2-2
1H--2C--2D--2H--2S--2N--3C--3D--,3N,sing. !c
1H--2C--2D--2H--2S--2N--3C--3D--,3S,sing. !s
1H--2C--2D--2H--2S--2N--3C--,3H,asks shortness; sets !h
1H--2C--2D--2H--2S--2N--3C--3H--,3N,sing. !s
1H--2C--2D--2H--2S--2N--3C--3H--,3S,2-2
1H--2C--2D--2H--2S--2N--3C--3H--,4C,sing. !c
1H--2C--2D--2H--2S--2N--,3D,6+!h-4!d
1H--2C--2D--2H--2S--2N--3D--,3H,asks shortness; denies !h interest
1H--2C--2D--2H--2S--2N--3D--3H--,3N,short !c
1H--2C--2D--2H--2S--2N--3D--3H--,3S,short !s
1H--2C--2D--2H--2S--2N--3D--,3S,asks shortness; sets !h
1H--2C--2D--2H--2S--2N--3D--3S--,3N,short !s
1H--2C--2D--2H--2S--2N--3D--3S--,4C,short !c
1H--2C--2D--2H--2S--2N--,3H,5+!h-5+!d; short !s
1H--2C--2D--2H--2S--2N--,3S,5+!h-5+!d short !c
1H--2C--2D--2H--2S--,3C,6+!c; slam interest
1H--2C--2D--2H--,3C,5!h-4!c
1H--2C--2D--2H--3C--,3D,asks shortness; denies !h interest
1H--2C--2D--2H--3C--3D--,3H,2-2
1H--2C--2D--2H--3C--3D--,3N,sing. !d
1H--2C--2D--2H--3C--3D--,3S,sing. !s
1H--2C--2D--2H--3C--,3H,asks shortness; sets !h
1H--2C--2D--2H--3C--3H--,3N,sing. !s
1H--2C--2D--2H--3C--3H--,3S,2-2
1H--2C--2D--2H--3C--3H--,4C,sing. !d
1H--2C--2D--2H--,3D,6+!h-4!c
1H--2C--2D--2H--3D--,3H,asks shortness; denies !h interest
1H--2C--2D--2H--3D--3H--,3N,short !d
1H--2C--2D--2H--3D--3H--,3S,short !s
1H--2C--2D--2H--3D--,3S,asks shortness; sets !h
1H--2C--2D--2H--3D--3S--,3N,short !s
1H--2C--2D--2H--3D--3S--,4C,short !d
1H--2C--2D--2H--,3H,5+!h-5+!c; short !s
1H--2C--2D--2H--,3N,5!h-4!d-4!c
1H--2C--2D--2H--,3S,5+!h-5+!c; short !d
1H--2C--2D--,2N,5+!c balanced; no slam interest
1H--2C--2D--,2S,6+!c GF unbalanced; or 5+!d-5+!c
1H--2C--2D--2S--,2N,relay
1H--2C--2D--2S--2N--,3C,5+!d-5+!c; no slam
1H--2C--2D--2S--2N--,3D,6+!c unbalanced; no slam interest
1H--2C--2D--2S--2N--,3H,5+!d-5+!c; slam interest
1H--2C--2D--2S--2N--,3S,6+!c unbalanced; slam interest
1H--2C--2D--,3C,6+!c 9-11
1H--2C--2D--,3D,6+!c-4!d; no slam interest
1H--2C--2D--,3H,Hxx !h; 5+ good !c; slam interest
1H--2C--,2H,4+!s
1H--2C--2H--,2N,GF relay; sets !s
1H--2C--2H--2N--,3C,5440 or 6!h-5!s
1H--2C--2H--2N--3C--,3D,relay
1H--2C--2H--2N--3C--3D--,3H,5440 11-15
1H--2C--2H--2N--3C--3D--3H--,3S,relay
1H--2C--2H--2N--3C--3D--3H--3S--,3N,void !d
1H--2C--2H--2N--3C--3D--3H--3S--,4C,void !c
1H--2C--2H--2N--3C--3D--,3N,5440 16+; void !d
1H--2C--2H--2N--3C--3D--,3S,6!h-5!s
1H--2C--2H--2N--3C--3D--,4C,5440 16+; void !c
1H--2C--2H--2N--,3D,5!h-4!s; 11-15
1H--2C--2H--2N--3D--,3H,asks shortness
1H--2C--2H--2N--3D--3H--,3N,sing. !d
1H--2C--2H--2N--3D--3H--,3S,2-2
1H--2C--2H--2N--3D--3H--,4C,sing. !c
1H--2C--2H--2N--,3H,6+!h-4!s
1H--2C--2H--2N--3H--,3S,relay for shape/strength
1H--2C--2H--2N--3H--3S--,3N,short !d; 11-15
1H--2C--2H--2N--3H--3S--,4C,short !c 11-15
1H--2C--2H--2N--3H--3S--,4D,short !d; 16+
1H--2C--2H--2N--3H--3S--,4H,short !c; 16-18
1H--2C--2H--2N--3H--3S--,4S,short !c; 19+
1H--2C--2H--2N--,3N,5!h-4!s; 16+; sing. !d
1H--2C--2H--2N--,3S,5!h-4!s; 2-2; 16+
1H--2C--2H--2N--,4C,5!h-4!s; 16+; sing. !c
1H--2C--2H--,2S,GF relay; usually !h fit
1H--2C--2H--2S--,2N,6!h-5!s or 5-4-4
1H--2C--2H--2S--2N--,3C,relay
1H--2C--2H--2S--2N--3C--,3D,5-4-4 11-15
1H--2C--2H--2S--2N--3C--3D--,3H,relay
1H--2C--2H--2S--2N--3C--3D--3H--,3N,void !c
1H--2C--2H--2S--2N--3C--3D--3H--,3S,void !d
1H--2C--2H--2S--2N--3C--,3H,6!h-5!s
1H--2C--2H--2S--2N--3C--,3N,5-4-4; 16+; void !c
1H--2C--2H--2S--2N--3C--,3S,5-4-4; 16+; void !d
1H--2C--2H--2S--,3C,5!h-4!s; 11-15
1H--2C--2H--2S--3C--,3D,asks shortness
1H--2C--2H--2S--3C--3D--,3H,2-2
1H--2C--2H--2S--3C--3D--,3N,sing. !c
1H--2C--2H--2S--3C--3D--,3S,sing. !d
1H--2C--2H--2S--,3D,6+!h-4!s
1H--2C--2H--2S--3D--,3H,ask shortness
1H--2C--2H--2S--3D--3H--,3N,short !c; 11-15
1H--2C--2H--2S--3D--3H--,3S,short !d; 11-15
1H--2C--2H--2S--3D--3H--,4C,short !d 16+
1H--2C--2H--2S--3D--3H--,4D,short !c; 16+
1H--2C--2H--2S--,3H,5!h-4!s; 16+; sing. !d
1H--2C--2H--2S--,3N,5!h-4!s-2-2; 16-18
1H--2C--2H--2S--,3S,5!h-4!s; 16+; sing. !c
1H--2C--2H--2S--,4C,5!h-4!s-2-2; 19+
1H--2C--2H--,3C,6+!c 9-11
1H--2C--2H--,3D,6(5)+!c slam interest
1H--2C--2H--,3H,Hxx; 5 good !c; slam interest
1H--2C--,2N,16+; 1-suiter
1H--2C--2N--,3C,relay
1H--2C--2N--3C--,3D,6+!h; unbalanced
1H--2C--2N--3C--3D--,3H,asks shortness
1H--2C--2N--3C--3D--3H--,3N,short !d
1H--2C--2N--3C--3D--3H--,3S,short !s
1H--2C--2N--3C--3D--3H--,4C,short !c
1H--2C--2N--3C--,3H,6+!h balanced
1H--2C--2N--3C--,3N,5!h; minimum
1H--2C--2N--3C--,3S,5!h; maximum
1H--2C--2N--,3D,5+!c; slam interest
1H--2C--2N--,3H,sets !h; 5+!c usually
1H--2C--,2S,16+; 5+!h-4+!d
1H--2C--2S--,2N,shape ask; GAR relay
1H--2C--2S--2N--,3C,5!h-4!d
1H--2C--2S--2N--3C--,3D,asks shortness; denies !h interest
1H--2C--2S--2N--3C--3D--,3H,2-2
1H--2C--2S--2N--3C--3D--,3N,sing. !c
1H--2C--2S--2N--3C--3D--,3S,sing. !s
1H--2C--2S--2N--3C--,3H,asks shortness; sets !h
1H--2C--2S--2N--3C--3H--,3N,sing. !s
1H--2C--2S--2N--3C--3H--,3S,2-2
1H--2C--2S--2N--3C--3H--,4C,sing. !c
1H--2C--2S--2N--,3D,6+!h-4!d
1H--2C--2S--2N--3D--,3H,asks shortness; denies !h interest
1H--2C--2S--2N--3D--3H--,3N,short !c
1H--2C--2S--2N--3D--3H--,3S,short !s
1H--2C--2S--2N--3D--,3S,asks shortness; sets !h
1H--2C--2S--2N--3D--3S--,3N,short !s
1H--2C--2S--2N--3D--3S--,4C,short !c
1H--2C--2S--2N--,3H,5+!h-5+!d; short !s
1H--2C--2S--2N--,3S,5+!h-5+!d short !c
1H--2C--2S--,3C,6+!c; 9-11
1H--2C--2S--,3D,6(5)+!c; slam interest
1H--2C--,3C,16+; 5!h-4!c
1H--2C--3C--,3D,Please read chat#asks shortness; denies !h interest; nearly always sets !c
1H--2C--3C--3D--,3H,2-2
1H--2C--3C--3D--,3N,sing. !d
1H--2C--3C--3D--,3S,sing. !s
1H--2C--3C--,3H,sets !h; asks for good trumps
1H--2C--3C--,3S,asks shortness; sets !h
1H--2C--3C--3S--,3N,2-2
1H--2C--3C--3S--,4C,sing. !s
1H--2C--3C--3S--,4D,sing. !d
1H--2C--,3D,16+; 6+!h-4!c
1H--2C--3D--,3H,sets !h; asks for high trump honors
1H--2C--3D--,3S,asks shortness; sets !h
1H--2C--3D--3S--,3N,short !s
1H--2C--3D--3S--,4C,short !d
1H--2C--3D--,4C,sets !c; slam interest
1H--2C--,3H,16+; 5+!h-5+!c; short !s
1H--2C--,3N,16+; 5!h-4!d-4!c
1H--2C--,3S,16+; 5+!h-5+!c; short !d
1H--,2D,5+!d GF
1H--2D--,2H,11-16
1H--2D--2H--,2N,5+!d; GF; natural continuations
1H--2D--2H--,2S,5+!d-4!c GF
1H--2D--2H--2S--,2N,relay
1H--2D--2H--2S--2N--,3C,5+!d-4!c; no slam interest
1H--2D--2H--2S--2N--3C--,3D,asks shortness; denies !s interest
1H--2D--2H--2S--2N--3C--3D--,3H,2-2
1H--2D--2H--2S--2N--3C--3D--,3N,sing. !c (with 3!h); 12-15
1H--2D--2H--2S--2N--3C--3D--,3S,sing. !h
1H--2D--2H--2S--2N--3C--3D--,4C,sing. !c (with 3!h); 16+
1H--2D--2H--2S--2N--3C--,3H,asks shortness; sets !s
1H--2D--2H--2S--2N--3C--3H--,3N,sing. !h
1H--2D--2H--2S--2N--3C--3H--,3S,2-2
1H--2D--2H--2S--2N--3C--3H--,4C,sing. !c; (and 3!h)
1H--2D--2H--2S--2N--,3D,6+!d-4!c; slam interest
1H--2D--2H--2S--2N--3D--,3H,asks shortness; denies !s interest
1H--2D--2H--2S--2N--3D--3H--,3N,12-15; short !c
1H--2D--2H--2S--2N--3D--3H--,3S,12-15; short !h
1H--2D--2H--2S--2N--3D--3H--,4C,16+; short !h
1H--2D--2H--2S--2N--3D--3H--,4D,16+; short !c
1H--2D--2H--2S--2N--3D--,3S,asks shortness; sets !s
1H--2D--2H--2S--2N--3D--3S--,3N,12-15; short !h
1H--2D--2H--2S--2N--3D--3S--,4C,12-15; short !c
1H--2D--2H--2S--2N--3D--3S--,4D,16+; short !h
1H--2D--2H--2S--2N--3D--3S--,4H,16+; short !c
1H--2D--2H--2S--2N--,3H,5!d-4!c-2-2; slam interest
1H--2D--2H--2S--2N--,3S,5!d-4!c; short !h; slam interest
1H--2D--2H--2S--,3C,4+!c; worry about !s
1H--2D--2H--2S--,3D,3+!d; worry about !s
1H--2D--2H--2S--,3H,6+ great !h; 11-15
1H--2D--2H--2S--,3S,xx(x) !s; no minor fit
1H--2D--2H--,3C,5+!d-4!s GF; no slam interest
1H--2D--2H--,3D,6+!d-4!s; slam interest
1H--2D--2H--,3H,5!d-4!s-2-2; slam interest
1H--2D--2H--,3S,5!d-4!s; short !h; slam interest
1H--2D--2H--,4D,sets !d
1H--2D--2H--,--,3-7 HCP raise
1H--2D--,2N,17-20; 5+!h
1H--2D--2N--,3C,5+!d-4+!c; slam interest
1H--2D--2N--,3D,5+!d; slam interest
1H--2D--2N--,3H,minimum weak !h raise
1H--2D--2N--,3N,5!d-3-3-2!h; 12-13 HCP
1H--2D--2N--,3S,6!d-5!s GF
1H--2D--2N--,4C,6!d-5+!c GF
1H--2D--2N--,4H,weak !h raise; maximum
1H--2D--,2S,16+; 4+!s
1H--2D--2S--,2N,GF shape ask; GAR relay
1H--2D--2S--2N--,3C,5!h-4!s
1H--2D--2S--2N--3C--,3D,asks shortness; denies !s interest
1H--2D--2S--2N--3C--3D--,3H,2-2
1H--2D--2S--2N--3C--3D--,3N,sing. !c
1H--2D--2S--2N--3C--3D--,3S,sing. !d
1H--2D--2S--2N--3C--,3H,asks shortness; sets !s
1H--2D--2S--2N--3C--3H--,3N,sing. !d
1H--2D--2S--2N--3C--3H--,3S,2-2
1H--2D--2S--2N--3C--3H--,4C,sing. !c
1H--2D--2S--2N--,3D,6+!h-4!s
1H--2D--2S--2N--3D--,3H,asks shortness; denies !s interest
1H--2D--2S--2N--3D--3H--,3N,short !c
1H--2D--2S--2N--3D--3H--,3S,short !d
1H--2D--2S--2N--3D--,3S,asks shortness; sets !s
1H--2D--2S--2N--3D--3S--,3N,short !d
1H--2D--2S--2N--3D--3S--,4C,short !c
1H--2D--2S--2N--,3N,5!h-4!s-4!c
1H--2D--2S--2N--,3S,5!h-4!s-4!d
1H--2D--2S--,3C,5+!d minimum GF; asks !c stopper
1H--2D--2S--,3D,6+!d GF
1H--2D--2S--,3H,minimum weak raise
1H--2D--2S--,3S,5+!d-4!s; slam interest
1H--2D--2S--,4D,sets !d
1H--2D--2S--,4H,maximum weak !h raise
1H--2D--2S--,4S,weak !h raise with 5+!s
1H--2D--,3C,16+; 4+!c
1H--2D--,3D,16+; 4+!d
1H--2D--,3H,16+; 6+!h
1H--2D--,3S,6!h-5!s 3-5 losers
1H--,2H,8-10 raise; 3-4!h
1H--2H--,2N,short !s; invit+
1H--2H--,2S,Please read chat#relay; asks in which suit would accept an invite
1H--2H--2S--,2N,accepts help suit try in !s
1H--2H--2S--,3C,Please read chat#accepts help suit try in !d; but not in !s
1H--2H--2S--,3D,accepts help suit try in !c only
1H--2H--2S--,3H,declines all invites
1H--2H--2S--,3N,max; 3!h-334
1H--2H--,3C,short !d; invit+
1H--2H--,3D,short !c; invit+
1H--2H--,3H,needs good trumps for game
1H--2H--,3N,choice of games
1H--2H--,3S,6!h-5!s slam interest
1H--2H--,4C,5+!h-5+!c slam interest
1H--2H--,4D,5+!h-5+!d slam interest
1H--2H--,4H,
1H--,2N,4+!h GF
1H--2N--,3C,extras
1H--2N--3C--,3D,relay; slam interest
1H--2N--3C--3D--,3H,no shortness
1H--2N--3C--3D--3H--,3N,short !s
1H--2N--3C--3D--3H--,3S,no shortness either
1H--2N--3C--3D--3H--,4C,short !d
1H--2N--3C--3D--3H--,4D,short !c
1H--2N--3C--3D--,3N,short !d
1H--2N--3C--3D--,3S,short !s
1H--2N--3C--3D--,4C,short !c
1H--2N--3C--,3H,GF; no slam interest
1H--2N--3C--3H--,3S,asks shortness
1H--2N--3C--3H--3S--,3N,no shortness
1H--2N--3C--3H--3S--,4C,short !s
1H--2N--3C--3H--3S--,4D,short !d
1H--2N--3C--3H--3S--,4H,short !c
1H--2N--3C--,3N,5+!d
1H--2N--3C--,3S,5+!s
1H--2N--3C--,4C,5+!c
1H--2N--,3D,minimum
1H--2N--3D--,3H,slammish; asks for shortness
1H--2N--3D--3H--,3N,short !s
1H--2N--3D--3H--,3S,no shortness
1H--2N--3D--3H--,4C,short !d
1H--2N--3D--3H--,4D,short !c
1H--2N--3D--,3N,5+!d
1H--2N--3D--,3S,5+!s
1H--2N--3D--,4C,5+!c
1H--2N--3D--,4H,
1H--2N--,3H,6!h-4+!c or 5!h-5!c
1H--2N--,3N,6!h-4+!s
1H--2N--,3S,6!h-4+!d or 5!h-5!d
1H--2N--,4C,!c void
1H--2N--,4D,!d void
1H--2N--,4H,!s void; minimum
1H--2N--,4S,!s void; 15+
1H--,2S,6+ good !s GF; or 5+!s-5+m GF
1H--2S--,2N,relay
1H--2S--2N--,3C,6+!s-4m
1H--2S--2N--3C--,3D,relay
1H--2S--2N--3C--3D--,3H,4!d
1H--2S--2N--3C--3D--,3S,4!c
1H--2S--2N--3C--,3S,sets !s
1H--2S--2N--,3D,6+!s 1-suiter
1H--2S--2N--,3H,5+!s-5+!d
1H--2S--2N--,3S,5+!s-5+!c
1H--2S--,3C,5+!h-5+!c
1H--2S--,3D,5+!h-5+!d
1H--2S--,3H,6+ good !h
1H--2S--,3N,11-14; 4!s unbalanced
1H--2S--3N--,4C,asks shortness
1H--2S--3N--4C--,4D,short !d
1H--2S--3N--4C--,4H,short !c
1H--2S--,3S,4!s balanced
1H--2S--,4C,15+; 4!s; splinter
1H--2S--,4D,15+; 4!s; splinter
1H--2S--,4S,4!s; horrible hand
1H--,3C,a) invit !h raise\\b) 3+!h; minimum GF
1H--3C--,3D,asks for max or 4crd !h
1H--3C--3D--,3H,minimum; 3!h
1H--3C--3D--,4H,maximum or 4crd !h
1H--3C--,3H,
1H--3C--,3N,balanced slam try
1H--3C--,3S,splinter; slam try
1H--3C--,4C,splinter; slam try
1H--3C--,4D,splinter; slam try
1H--3C--,4H,
1H--,3D,any invite splinter; 4+!h 6-9 HCP
1H--3D--,3H,
1H--3D--,3S,asks shortness
1H--3D--3S--,3N,short !s
1H--3D--3S--,4C,short !d
1H--3D--3S--,4D,short !c
1H--,3H,0-5
1H--,3N,GF+ raise; void !s; 4+!h
1H--,3S,any 10-13 splinter
1H--3S--,3N,asks shortness
1H--3S--3N--,4C,short !s
1H--3S--3N--,4D,short !d
1H--3S--3N--,4H,short !c
1H--3S--,4C,splinter; slam interest
1H--3S--,4D,splinter; slam interest
1H--3S--,4H,
1H--,4C,GF+ raise; void !d; 4+!h
1H--,4D,GF+ raise; void !c; 4+!h
1H--,4H,0-5
1H--,4S,
,1N,15-17; no 5M
1N--,2C,Please read chat#Stayman; promises a major; may contain also:                             a) 4+ 4+ majors weak               b) 5!s invite
1N--2C--,2D,no major
1N--2C--2D--,2H,4+!h-4+!s; weak; asks preference
1N--2C--2D--,2N,8-9; promises major
1N--2C--2D--2N--,3C,max; asks for any shortness
1N--2C--2D--2N--3C--,3D,short major
1N--2C--2D--2N--3C--3D--,3H,asks which
1N--2C--2D--2N--3C--3D--3H--,3N,short !h
1N--2C--2D--2N--3C--3D--3H--,3S,short !s
1N--2C--2D--2N--3C--,3H,short !d
1N--2C--2D--2N--3C--,3N,balanced
1N--2C--2D--2N--3C--,3S,short !c
1N--2C--2D--,2S,5!s; 8-9 HCP
1N--2C--2D--2S--,2N,minimum; prefers 2N over 2!s
1N--2C--2D--2S--,3C,max; !c values
1N--2C--2D--2S--,3D,max; !d values but no !c values
1N--2C--2D--2S--,3S,3!s; invite
1N--2C--2D--2S--,4S,
1N--2C--2D--,3C,GF; 5+m with a major splinter
1N--2C--2D--3C--,3D,relay
1N--2C--2D--3C--3D--,3H,!h splinter
1N--2C--2D--3C--3D--3H--3N--,4C,5+!c; slam interest
1N--2C--2D--3C--3D--3H--3N--,4D,5+!d; slam interest
1N--2C--2D--3C--3D--3H--3N--,4H,6+!c-4!s; short !h; slam interest
1N--2C--2D--3C--3D--3H--3N--,4S,6+!d-4!s; short !h; slam interest
1N--2C--2D--3C--3D--3H--,4C,raise opposite 5+!c
1N--2C--2D--3C--3D--3H--4C--,4D,5+!d
1N--2C--2D--3C--3D--3H--4C--,4H,cue; 5+!c
1N--2C--2D--3C--3D--3H--4C--,4S,cue; 5+!c
1N--2C--2D--3C--3D--3H--,4D,5+!d
1N--2C--2D--3C--3D--3H--,4H,nothing wasted in !h
1N--2C--2D--3C--3D--,3S,!s splinter
1N--2C--2D--3C--3D--3S--3N--,4C,5+!c; slam interest
1N--2C--2D--3C--3D--3S--3N--,4D,5+!d; slam interest
1N--2C--2D--3C--3D--3S--3N--,4H,6+!c-4!h; short !s; slam interest
1N--2C--2D--3C--3D--3S--3N--,4S,6+!d-4!h; short !s; slam interest
1N--2C--2D--3C--3D--3S--,4C,raise opposite 5+!c
1N--2C--2D--3C--3D--3S--4C--,4D,5+!d
1N--2C--2D--3C--3D--3S--4C--,4H,cue; 5+!c
1N--2C--2D--3C--3D--3S--4C--,4S,cue; 5+!c
1N--2C--2D--3C--3D--3S--,4D,5+!d
1N--2C--2D--3C--3D--3S--,4S,nothing wasted in !s
1N--2C--2D--,3D,minor suit stayman; slam interest
1N--2C--2D--3D--,3H,4+!d; denies !c
1N--2C--2D--3D--,3N,4+ 4+ minors
