BBOalert
Error *00{WJ2000}=NYYYYYYWJ2000 - by Krzysztof Jassem|,20,000 - by Krzysztof Jassem
1C--1S--1N--2C--2D--,3D,
1C--1S--1N--2C--2D--,3H,
1C--1S--1N--2C--2D--,3S,
1C--1S--1N--2C--,2H,12-13(-); 2!s
1C--1S--1N--2C--2H--,2N,GF; waiting
1C--1S--1N--2C--2H--,2S,
1C--1S--1N--2C--2H--,3C,5+!c; weak
1C--1S--1N--2C--2H--,3D,
1C--1S--1N--2C--2H--,3H,
1C--1S--1N--2C--2H--,3S,
1C--1S--1N--2C--,2N,13(+)-14; 2!s
1C--1S--1N--2C--2N--,3C,5+!c; weak
1C--1S--1N--2C--,2S,13(+)-14; 3!s
1C--1S--1N--2C--2S--,3C,5+!c; weak
1C--1S--1N--,2D,
1C--1S--1N--,2H,5+!s-4+!h
1C--1S--1N--,2S,
1C--1S--1N--,3C,5!s-5!c GF
1C--1S--1N--,3D,5!s-5!d GF
1C--1S--1N--,3H,5+!s-5+!h GF
1C--1S--,2C,15+; F1
1C--1S--2C--,2D,artif; GF
1C--1S--2C--,2H,
1C--1S--2C--,2N,7-8
1C--1S--2C--,2S,7-8
1C--1S--2C--,3C,7-8
1C--1S--,2D,Please read chat#odwrotka: artificial showing 3+!s and 18+ HCP
1C--1S--2D--,2H,4!s; 7-10; any shape
1C--1S--2D--,2N,5!s; 7-10 HCP; any shape
1C--1S--2D--,2S,4!s; 11+ HCP; any shape
1C--1S--2D--,3C,5!s; 11+ HCP; any shape
1C--1S--2D--,3D,6+!s; 7-10 HCP; any shape
1C--1S--2D--,3H,6+!s; 11+ HCP; any shape
1C--1S--2D--,4C,6+!s; splinter
1C--1S--2D--,4D,6+!s; splinter
1C--1S--2D--,4H,6+!s; splinter
1C--1S--,2H,18+
1C--1S--,2N,18+; 1-2!s
1C--1S--,2S,11-14; 4!s
1C--1S--,3C,18+
1C--1S--,3D,18+
1C--1S--,3N,solid 6+!c; 15-17
1C--1S--,3S,15-17; 4+!c-4!s
1C--,2C,
1C--2C--,2D,any strength
1C--2C--,2H,any strength
1C--2C--,2N,Please read chat#could be 12-14 or waiting with 18+; denies major
1C--2C--,2S,any strength
1C--,2D,
1C--2D--,2H,any strength
1C--2D--,2N,Please read chat#could be 12-14 or waiting with 18+; denies major
1C--2D--,2S,any strength
1C--2D--,3C,15+
1C--,2H,strong jump shift
1C--,2N,11-12 bal; no major
1C--2N--,3C,15+
1C--2N--,3D,18+
1C--2N--,3H,18+
1C--2N--,3S,18+
1C--,2S,strong jump shift
1C--,3C,good 6+crd suit; invites a 3N gamble
1C--3C--,3D,natural or stopper
1C--3C--,3H,natural or stopper
