BBOalert
1C,1D,9-12HcP; 5+!D; NF
1DDb,1N,No CTRL; 5-6HcP
1DDb1N--,2C,5+!C
1DDb1N--,2D,5+!D
1DDb1N--,2H,5+!H
1DDb1N--,2N,Balanced; any strength
1DDb1N--,2S,5+!S
1DDb,1S,3 CTRL
1DDb,2C,4 CTRL
1DDb,2D,5 CTRL
1DDb,2H,No CTRL; 7+HcP
1DDb,--,0 CTRL
1DDb,Rd,1 CTRL
1D--,1H,No CTRL
1D--1H--,1N,19-21HcP; bal
1D--1H--1N--,2C,Stayman
1D--1H--1N--,2D,Trans -> !H
1D--1H--1N--,2H,Trans -> !S
1D--1H--1N--,2N,4-5HcP; No MAJOR
1D--1H--1N--,2S,Trans -> a minor
1D--1H--1N--,3C,Slam invite
1D--1H--1N--,3D,Slam invite
1D--1H--1N--,3H,Slam invite
1D--1H--1N--,3N,Signoff
1D--1H--1N--,3S,Slam invite
1D--1H--1N--,4D,Trans -> !H
1D--1H--1N--,4H,Trans -> !S
1D--1H--,1S,ASK support
1D--1H--,2C,ASK support
1D--1H--,2D,ASK support
1D--1H--,2H,ASK support
1D--1H--,2N,22+HcP; bal
1D--1H--2N--,3C,Stayman
1D--1H--2N--,3D,Trans -> !H
1D--1H--2N--,3H,Trans -> !S
1D--1H--,2S,ASK control in the suit
1D--1H--,3C,ASK control in the suit
1D--1H--,3D,ASK control in the suit
1D--1H--,3H,ASK control in the suit
1D--,1N,No CTRL; 5-6HcP
1D--1N--,2C,5+!C
1D--1N--,2D,5+!D
1D--1N--,2H,5+!H
1D--1N--,2N,Balanced; any strength
1D--1N--,2S,5+!S
1D--,1S,1 CTRL
1D--1S--,1N,19-21HcP; bal
1D--1S--1N--,2C,Stayman
1D--1S--1N--,2D,Trans -> !H
1D--1S--1N--,2H,Trans -> !S
1D--1S--1N--,2N,4-5HcP; No MAJOR
1D--1S--1N--,2S,Trans -> a minor
1D--1S--1N--,3C,Slam invite
1D--1S--1N--,3D,Slam invite
1D--1S--1N--,3H,Slam invite
1D--1S--1N--,3N,Signoff
1D--1S--1N--,3S,Slam invite
1D--1S--1N--,4D,Trans -> !H
1D--1S--1N--,4H,Trans -> !S
1D--1S--,2C,ASK support
1D--1S--,2D,ASK support
1D--1S--,2H,ASK support
1D--1S--,2N,22+HcP; bal
1D--1S--2N--,3C,Stayman
1D--1S--2N--,3D,Trans -> !H
1D--1S--2N--,3H,Trans -> !S
1D--1S--,2S,ASK support
1D--1S--,3C,ASK control in the suit
1D--1S--,3D,ASK control in the suit
1D--1S--,3H,ASK control in the suit
1D--1S--,3S,ASK control in the suit
1D--,2C,2 CTRL
1D--2C--,2D,ASK support
1D--2C--,2H,ASK support
1D--2C--,2N,19-21HcP; bal
1D--2C--2N--,3C,Stayman
1D--2C--2N--,3D,Trans -> !H
1D--2C--2N--,3H,Trans -> !S
1D--2C--,2S,ASK support
1D--2C--,3C,ASK support
1D--2C--,3D,ASK control in the suit
1D--2C--,3H,ASK control in the suit
1D--2C--,3N,22+HcP; bal
1D--2C--3N--,4C,Stayman
1D--2C--3N--,4D,Trans -> !H
1D--2C--3N--,4H,Trans -> !S
1D--2C--,3S,ASK control in the suit
1D--2C--,4C,ASK control in the suit
1D--,2D,3 CTRL
1D--2D--,2H,ASK support
1D--2D--,2N,19-21HcP; bal
1D--2D--2N--,3C,Stayman
1D--2D--2N--,3D,Trans -> !H
1D--2D--2N--,3H,Trans -> !S
1D--2D--,2S,ASK support
1D--2D--,3C,ASK support
1D--2D--,3D,ASK support
1D--2D--,3H,ASK control in the suit
1D--2D--,3N,22+HcP; bal
1D--2D--3N--,4C,Stayman
1D--2D--3N--,4D,Trans -> !H
1D--2D--3N--,4H,Trans -> !S
1D--2D--,3S,ASK control in the suit
1D--2D--,4C,ASK control in the suit
1D--2D--,4D,ASK control in the suit
1D--,2H,4 CTRL
1D--2H--,2N,19-21HcP; bal
1D--2H--2N--,3C,Stayman
1D--2H--2N--,3D,Trans -> !H
1D--2H--2N--,3H,Trans -> !S
1D--2H--,2S,ASK support
1D--2H--,3C,ASK support
1D--2H--,3D,ASK support
1D--2H--,3H,ASK support
1D--2H--,3N,22+HcP; bal
1D--2H--3N--,4C,Stayman
1D--2H--3N--,4D,Trans -> !H
1D--2H--3N--,4H,Trans -> !S
1D--2H--,3S,ASK control in the suit
1D--2H--,4C,ASK control in the suit
1D--2H--,4D,ASK control in the suit
1D--2H--,4H,ASK control in the suit
1D--,2N,No CTRL; 7+HcP
1D--,2S,5 CTRL
1D--2S--,2N,19-21HcP; bal
1D--2S--2N--,3C,Stayman
1D--2S--2N--,3D,Trans -> !H
1D--2S--2N--,3H,Trans -> !S
1D--2S--,3C,ASK support
1D--2S--,3D,ASK support
1D--2S--,3H,ASK support
1D--2S--,3N,22+HcP; bal
1D--2S--3N--,4C,Stayman
1D--2S--3N--,4D,Trans -> !H
1D--2S--3N--,4H,Trans -> !S
1D--2S--,3S,ASK support
1D--2S--,4C,ASK control in the suit
1D--2S--,4D,ASK control in the suit
1D--2S--,4H,ASK control in the suit
1D--2S--,4S,ASK control in the suit
1H1S,3C,Long + fit
1H1S,3D,Long + fit
1H1S,Db,12+HcP; ANY
1H1S,--,Weak or trap. Might be delayed 8-11HcP
1H1S,Rd,12+HcP; ANY
,1H,Please read chat#12-20HcP; 4+!H; canape'. *12-15; 5+!H  *12-20; 5332  *14-20; 2-suiter; 4-5!H  *16-20; 4!H+5!S
1HDb,2S,Long + fit
1HDb,3C,Long + fit
1HDb,3D,Long + fit
1HDb,--,Weak or trap. Might be delayed 8-11HcP
1HDb,Rd,12+HcP; ANY
1H--,1N,0-7HcP; No fit
1H--1N--,2C,18-20HcP; 5+!C
1H--1N--,2D,18-20HcP; 5+!D
1H--1N--,2H,12-15HcP; 6+!H
1H--1N--,2S,16-20HcP; 5!S + 4!H
1H--1N--,3H,18-20HcP; 5!H; 5332 dist
1H--1N--,--,12-17HcP; 5332 dist
1H--,1S,8+HcP; 4+!S; Canape'
1H--1S--,1N,12-15HcP; 2-5-3-3
1H--1S--,2C,14-20HcP; 5+!C
1H--1S--,2D,14-20HcP; 5+!D
1H--1S--,2H,12-13HcP; 6+!H
1H--1S--2H--,3N,Blackwood
1H--1S--2H--3N--,4C,No ace
1H--1S--2H--3N--4C--,4D,ASK control in this suit
1H--1S--2H--3N--4C--,4H,ASK control in this suit
1H--1S--2H--3N--4C--,4S,ASK control in this suit
1H--1S--2H--3N--4C--,5C,ASK control in this suit
1H--1S--2H--3N--,4D,1 ace
1H--1S--2H--3N--4D--,4H,ASK control in this suit
1H--1S--2H--3N--4D--,4N,Which ace?
1H--1S--2H--3N--4D--,4S,ASK control in this suit
1H--1S--2H--3N--4D--,5C,ASK control in this suit
1H--1S--2H--3N--4D--,5D,ASK control in this suit
1H--1S--2H--3N--,4H,2 aces
1H--1S--2H--3N--4H--,4N,Which aces?
1H--1S--2H--3N--4H--4N--,5C,!C + !D
1H--1S--2H--3N--4H--4N--,5D,!H + !S
1H--1S--2H--3N--4H--4N--,5H,!S+!D or !H+!C
1H--1S--2H--3N--4H--4N--,5S,!S+!C or !H+!D
1H--1S--2H--3N--4H--,4S,ASK control in this suit
1H--1S--2H--3N--4H--,5C,ASK control in this suit
1H--1S--2H--3N--4H--,5D,ASK control in this suit
1H--1S--2H--3N--4H--,5H,ASK control in this suit
1H--1S--2H--3N--,4S,3 aces
1H--1S--2H--3N--4S--,4N,Which ace missing?
1H--1S--2H--3N--4S--,5C,ASK control in this suit
1H--1S--2H--3N--4S--,5D,ASK control in this suit
1H--1S--2H--3N--4S--,5H,ASK control in this suit
1H--1S--2H--3N--4S--,5S,ASK control in this suit
1H--1S--,2N,16-20HcP; 5332 dist
1H--1S--,2S,12-15HcP; 3!S; *3-5-2-3  *3-5-3-2
1H--1S--,3H,14-15HcP; 6+!H
1H--1S--,3N,Blackwood
1H--1S--3N--,4C,No ace
1H--1S--3N--4C--,4D,ASK control in this suit
1H--1S--3N--4C--,4H,ASK control in this suit
1H--1S--3N--4C--,4S,ASK control in this suit
1H--1S--3N--4C--,5C,ASK control in this suit
1H--1S--3N--,4D,1 ace
1H--1S--3N--4D--,4H,ASK control in this suit
1H--1S--3N--4D--,4N,Which ace?
1H--1S--3N--4D--,4S,ASK control in this suit
1H--1S--3N--4D--,5C,ASK control in this suit
1H--1S--3N--4D--,5D,ASK control in this suit
1H--1S--3N--,4H,2 aces
1H--1S--3N--4H--,4N,Which aces?
1H--1S--3N--4H--4N--,5C,!C + !D
1H--1S--3N--4H--4N--,5D,!H + !S
1H--1S--3N--4H--4N--,5H,!S+!D or !H+!C
1H--1S--3N--4H--4N--,5S,!S+!C or !H+!D
1H--1S--3N--4H--,4S,ASK control in this suit
1H--1S--3N--4H--,5C,ASK control in this suit
1H--1S--3N--4H--,5D,ASK control in this suit
1H--1S--3N--4H--,5H,ASK control in this suit
1H--1S--3N--,4S,3 aces
1H--1S--3N--4S--,4N,Which ace missing?
1H--1S--3N--4S--,5C,ASK control in this suit
1H--1S--3N--4S--,5D,ASK control in this suit
1H--1S--3N--4S--,5H,ASK control in this suit
1H--1S--3N--4S--,5S,ASK control in this suit
1H--1S--,3S,16-17HcP; 5-4-2-2
1H--1S--,4C,16-20HcP; 5-4-3-1; 5-4-4-0
1H--1S--,4D,16-20HcP; 5-4-1-3; 5-4-0-4
1H--1S--,4S,18-20HcP; 5-4-2-2
1H--,2C,10+HcP; 4+!C; Canape'
1H--2C--,2D,14-20HcP; 5+!D
1H--2C--,2H,12-13HcP; 6+!H
1H--2C--2H--,3N,Blackwood
1H--2C--2H--3N--,4C,No ace
1H--2C--2H--3N--4C--,4D,ASK control in this suit
1H--2C--2H--3N--4C--,4H,ASK control in this suit
1H--2C--2H--3N--4C--,4S,ASK control in this suit
1H--2C--2H--3N--4C--,5C,ASK control in this suit
1H--2C--2H--3N--,4D,1 ace
1H--2C--2H--3N--4D--,4H,ASK control in this suit
1H--2C--2H--3N--4D--,4N,Which ace?
1H--2C--2H--3N--4D--,4S,ASK control in this suit
1H--2C--2H--3N--4D--,5C,ASK control in this suit
1H--2C--2H--3N--4D--,5D,ASK control in this suit
1H--2C--2H--3N--,4H,2 aces
1H--2C--2H--3N--4H--,4N,Which aces?
1H--2C--2H--3N--4H--4N--,5C,!C + !D
1H--2C--2H--3N--4H--4N--,5D,!H + !S
1H--2C--2H--3N--4H--4N--,5H,!S+!D or !H+!C
1H--2C--2H--3N--4H--4N--,5S,!S+!C or !H+!D
1H--2C--2H--3N--4H--,4S,ASK control in this suit
1H--2C--2H--3N--4H--,5C,ASK control in this suit
1H--2C--2H--3N--4H--,5D,ASK control in this suit
1H--2C--2H--3N--4H--,5H,ASK control in this suit
1H--2C--2H--3N--,4S,3 aces
1H--2C--2H--3N--4S--,4N,Which ace missing?
1H--2C--2H--3N--4S--,5C,ASK control in this suit
1H--2C--2H--3N--4S--,5D,ASK control in this suit
1H--2C--2H--3N--4S--,5H,ASK control in this suit
1H--2C--2H--3N--4S--,5S,ASK control in this suit
1H--2C--,2N,14-15HcP; 5332 dist
1H--2C--,2S,16-17HcP; 5-4-2-2
1H--2C--,3C,14-20HcP; 5+!C
1H--2C--,3H,14-15HcP; 6+!H
1H--2C--,3N,16-20HcP; 5332 dist.
1H--2C--,3S,18-20HcP; 5-4-2-2
1H--2C--,4C,16-20HcP; 5-4-3-1; 5-4-4-0
1H--2C--,4D,16-20HcP; 5-4-1-3; 5-4-0-4
1H--,2D,10+HcP; 4+!D; Canape'
1H--2D--,2H,12-13HcP; 6+!H
1H--2D--2H--,3N,Blackwood
1H--2D--2H--3N--,4C,No ace
1H--2D--2H--3N--4C--,4D,ASK control in this suit
1H--2D--2H--3N--4C--,4H,ASK control in this suit
1H--2D--2H--3N--4C--,4S,ASK control in this suit
1H--2D--2H--3N--4C--,5C,ASK control in this suit
1H--2D--2H--3N--,4D,1 ace
1H--2D--2H--3N--4D--,4H,ASK control in this suit
1H--2D--2H--3N--4D--,4N,Which ace?
1H--2D--2H--3N--4D--,4S,ASK control in this suit
1H--2D--2H--3N--4D--,5C,ASK control in this suit
1H--2D--2H--3N--4D--,5D,ASK control in this suit
1H--2D--2H--3N--,4H,2 aces
1H--2D--2H--3N--4H--,4N,Which aces?
1H--2D--2H--3N--4H--4N--,5C,!C + !D
1H--2D--2H--3N--4H--4N--,5D,!H + !S
1H--2D--2H--3N--4H--4N--,5H,!S+!D or !H+!C
1H--2D--2H--3N--4H--4N--,5S,!S+!C or !H+!D
1H--2D--2H--3N--4H--,4S,ASK control in this suit
1H--2D--2H--3N--4H--,5C,ASK control in this suit
1H--2D--2H--3N--4H--,5D,ASK control in this suit
1H--2D--2H--3N--4H--,5H,ASK control in this suit
1H--2D--2H--3N--,4S,3 aces
1H--2D--2H--3N--4S--,4N,Which ace missing?
1H--2D--2H--3N--4S--,5C,ASK control in this suit
1H--2D--2H--3N--4S--,5D,ASK control in this suit
1H--2D--2H--3N--4S--,5H,ASK control in this suit
1H--2D--2H--3N--4S--,5S,ASK control in this suit
1H--2D--,2N,14-15HcP; 5332 dist
1H--2D--,2S,16-17HcP; 5-4-2-2
1H--2D--,3C,14-20HcP; 5+!C
1H--2D--,3D,14-20HcP; 5+!D
1H--2D--,3H,14-15HcP; 6+!H
1H--2D--,3N,16-20HcP; 5332 dist.
1H--2D--,3S,18-20HcP; 5-4-2-2
1H--2D--,4C,16-20HcP; 5-4-3-1; 5-4-4-0
1H--2D--,4D,16-20HcP; 5-4-1-3; 5-4-0-4
1H--,2H,0-9HcP; 4+!H
1H--,2N,11-12HcP; bal
1H--,2S,12+HcP; 5+!S
1H--,3C,12+HcP; 5+!C
1H--,3D,12+HcP; 5+!D
1H--,3H,11-14HcP; 5+!H; 1+ Top-honors
1H--,4H,Signoff
,1N,16-18HcP. *4333  *4432
1NDb,2C,0-7HcP; Stayman
1NDb,2D,0-7HcP; Trans -> !H 
1NDb,2H,0-7HcP; Trans -> !S 
1NDb,2N,0-7HcP; Trans -> !D
1NDb,2S,0-7HcP; Trans -> !C
1NDb,--,0-7HcP; No 5card suits
1NDbRd2C,Db,Penalty
1NDbRd2C----,2D,5+!D
1NDbRd2C----,2H,5+!H
1NDbRd2C----,2N,Stayman
1NDbRd2C----,2S,5+!S
1NDbRd2C----,Db,Penalty
1NDbRd2D,Db,Penalty
1NDbRd2D----,2H,5+!H
1NDbRd2D----,2N,Stayman
1NDbRd2D----,2S,5+!S
1NDbRd2D----,3C,5+!C
1NDbRd2D----,Db,Penalty
1NDbRd2H,Db,Penalty
1NDbRd2H----,2N,Stayman
1NDbRd2H----,2S,5+!S
1NDbRd2H----,3C,5+!C
1NDbRd2H----,3D,5+!D
1NDbRd2H----,Db,Penalty
1NDbRd2N,Db,Penalty
1NDbRd2N----,3C,5+!C
1NDbRd2N----,3D,5+!D
1NDbRd2N----,3H,5+!H
1NDbRd2N----,3S,5+!S
1NDbRd2N----,Db,Penalty
1NDbRd2S,Db,Penalty
1NDbRd2S----,2N,Stayman
1NDbRd2S----,3C,5+!C
1NDbRd2S----,3D,5+!D
1NDbRd2S----,3H,5+!H
1NDbRd2S----,Db,Penalty
1NDb,Rd,8+HcP; ANY
1N--,2C,7+HcP; Stayman
1N--2C--,2D,Please read chat#minimum; No 4card MAJOR. Natural continue
1N--2C--,2H,3-4-3-3. Natural continue
1N--2C--,2N,Please read chat#MAXIMUM; No 4card MAJOR. Natural continue
1N--2C--,2S,4-3-3-3. Natural continue
1N--2C--,3C,minimum; 4-4-2-3. Natural continue
1N--2C--,3D,minimum; 4-4-3-2. Natural continue
1N--2C--,3H,MAXIMUM; 4-4-2-3. Natural continue
1N--2C--,3S,MAXIMUM; 4-4-3-2. Natural continue
1N--,2D,Trans -> !H
1N--,2H,Trans -> !S
1N--,2N,7-8HcP; No MAJOR
1N--,2S,Trans -> minor
1N--,3C,5+!C; Natural continue
1N--,3D,5+!D; Natural continue
1N--,3H,5+!H; Natural continue
1N--,3S,5+!S; Natural continue
1N--,4D,Trans -> !H
1N--,4H,Trans -> !S
,1S,Please read chat#12-20HcP; 4+!S; canape'. *12-15; 5+!S  *12-20; 5332  *14-20; 2-suiter; 4-5!S  *16-20; 4!S+5!H
1SDb,3C,Long + fit
1SDb,3D,Long + fit
1SDb,3H,Long + fit
1SDb,--,Weak or trap. Might be delayed 8-11HcP
1SDb,Rd,12+HcP; ANY
1S--,1N,0-7HcP; No fit
1S--1N--,2C,18-20HcP; 5+!C
1S--1N--,2D,18-20HcP; 5+!D
1S--1N--,2H,16-17HcP; 4!S + 5!H
1S--1N--,2S,12-15HcP; 6+!S
1S--1N--,3H,18-20HcP; 4!S + 5!H
1S--1N--,3S,18-20HcP; 5!S; 5332 dist
1S--1N--,--,12-17HcP; 5332 dist
1S--,2C,10+HcP; 4+!C; Canape'
1S--2C--,2D,14-20HcP; 5+!D
1S--2C--,2H,16-17HcP; 4-5-2-2
1S--2C--,2N,14-15HcP; 5332 dist
1S--2C--,2S,12-15HcP; 6+!S
1S--2C--2S--,3N,Blackwood
1S--2C--2S--3N--,4C,No ace
1S--2C--2S--3N--4C--,4D,ASK control in this suit
1S--2C--2S--3N--4C--,4H,ASK control in this suit
1S--2C--2S--3N--4C--,4S,ASK control in this suit
1S--2C--2S--3N--4C--,5C,ASK control in this suit
1S--2C--2S--3N--,4D,1 ace
1S--2C--2S--3N--4D--,4H,ASK control in this suit
1S--2C--2S--3N--4D--,4N,Which ace?
1S--2C--2S--3N--4D--,4S,ASK control in this suit
1S--2C--2S--3N--4D--,5C,ASK control in this suit
1S--2C--2S--3N--4D--,5D,ASK control in this suit
1S--2C--2S--3N--,4H,2 aces
1S--2C--2S--3N--4H--,4N,Which aces?
1S--2C--2S--3N--4H--4N--,5C,!C + !D
1S--2C--2S--3N--4H--4N--,5D,!H + !S
1S--2C--2S--3N--4H--4N--,5H,!S+!D or !H+!C
1S--2C--2S--3N--4H--4N--,5S,!S+!C or !H+!D
1S--2C--2S--3N--4H--,4S,ASK control in this suit
1S--2C--2S--3N--4H--,5C,ASK control in this suit
1S--2C--2S--3N--4H--,5D,ASK control in this suit
1S--2C--2S--3N--4H--,5H,ASK control in this suit
1S--2C--2S--3N--,4S,3 aces
1S--2C--2S--3N--4S--,4N,Which ace missing?
1S--2C--2S--3N--4S--,5C,ASK control in this suit
1S--2C--2S--3N--4S--,5D,ASK control in this suit
1S--2C--2S--3N--4S--,5H,ASK control in this suit
1S--2C--2S--3N--4S--,5S,ASK control in this suit
1S--2C--,3C,14-20HcP; 5+!C
1S--2C--,3H,18-20HcP; 4-5-2-2
1S--2C--,3N,Blackwood
1S--2C--3N--,4C,No ace
1S--2C--3N--4C--,4D,ASK control in this suit
1S--2C--3N--4C--,4H,ASK control in this suit
1S--2C--3N--4C--,4S,ASK control in this suit
1S--2C--3N--4C--,5C,ASK control in this suit
1S--2C--3N--,4D,1 ace
1S--2C--3N--4D--,4H,ASK control in this suit
1S--2C--3N--4D--,4N,Which ace?
1S--2C--3N--4D--,4S,ASK control in this suit
1S--2C--3N--4D--,5C,ASK control in this suit
1S--2C--3N--4D--,5D,ASK control in this suit
1S--2C--3N--,4H,2 aces
1S--2C--3N--4H--,4N,Which aces?
1S--2C--3N--4H--4N--,5C,!C + !D
1S--2C--3N--4H--4N--,5D,!H + !S
1S--2C--3N--4H--4N--,5H,!S+!D or !H+!C
1S--2C--3N--4H--4N--,5S,!S+!C or !H+!D
1S--2C--3N--4H--,4S,ASK control in this suit
1S--2C--3N--4H--,5C,ASK control in this suit
1S--2C--3N--4H--,5D,ASK control in this suit
1S--2C--3N--4H--,5H,ASK control in this suit
1S--2C--3N--,4S,3 aces
1S--2C--3N--4S--,4N,Which ace missing?
1S--2C--3N--4S--,5C,ASK control in this suit
1S--2C--3N--4S--,5D,ASK control in this suit
1S--2C--3N--4S--,5H,ASK control in this suit
1S--2C--3N--4S--,5S,ASK control in this suit
1S--2C--,3S,16-20HcP; 5332 dist
1S--2C--,4C,16-20HcP; 4-5-3-1; 4-5-4-0
1S--2C--,4D,16-20HcP; 4-5-1-3; 4-5-0-4
1S--,2D,10+HcP; 4+!D; Canape'
1S--2D--,2H,16-17HcP; 4-5-2-2
1S--2D--,2N,12-15HcP; 5332 dist
1S--2D--,2S,12-15HcP; 6+!S
1S--2D--2S--,3N,Blackwood
1S--2D--2S--3N--,4C,No ace
1S--2D--2S--3N--4C--,4D,ASK control in this suit
1S--2D--2S--3N--4C--,4H,ASK control in this suit
1S--2D--2S--3N--4C--,4S,ASK control in this suit
1S--2D--2S--3N--4C--,5C,ASK control in this suit
1S--2D--2S--3N--,4D,1 ace
1S--2D--2S--3N--4D--,4H,ASK control in this suit
1S--2D--2S--3N--4D--,4N,Which ace?
1S--2D--2S--3N--4D--,4S,ASK control in this suit
1S--2D--2S--3N--4D--,5C,ASK control in this suit
1S--2D--2S--3N--4D--,5D,ASK control in this suit
1S--2D--2S--3N--,4H,2 aces
1S--2D--2S--3N--4H--,4N,Which aces?
1S--2D--2S--3N--4H--4N--,5C,!C + !D
1S--2D--2S--3N--4H--4N--,5D,!H + !S
1S--2D--2S--3N--4H--4N--,5H,!S+!D or !H+!C
1S--2D--2S--3N--4H--4N--,5S,!S+!C or !H+!D
1S--2D--2S--3N--4H--,4S,ASK control in this suit
1S--2D--2S--3N--4H--,5C,ASK control in this suit
1S--2D--2S--3N--4H--,5D,ASK control in this suit
1S--2D--2S--3N--4H--,5H,ASK control in this suit
1S--2D--2S--3N--,4S,3 aces
1S--2D--2S--3N--4S--,4N,Which ace missing?
1S--2D--2S--3N--4S--,5C,ASK control in this suit
1S--2D--2S--3N--4S--,5D,ASK control in this suit
1S--2D--2S--3N--4S--,5H,ASK control in this suit
1S--2D--2S--3N--4S--,5S,ASK control in this suit
1S--2D--,3C,14-20HcP; 5+!C
1S--2D--,3D,14-20HcP; 5+!D
1S--2D--,3H,18-20HcP; 4-5-2-2
1S--2D--,3N,Blackwood
1S--2D--3N--,4C,No ace
1S--2D--3N--4C--,4D,ASK control in this suit
1S--2D--3N--4C--,4H,ASK control in this suit
1S--2D--3N--4C--,4S,ASK control in this suit
1S--2D--3N--4C--,5C,ASK control in this suit
1S--2D--3N--,4D,1 ace
1S--2D--3N--4D--,4H,ASK control in this suit
1S--2D--3N--4D--,4N,Which ace?
1S--2D--3N--4D--,4S,ASK control in this suit
1S--2D--3N--4D--,5C,ASK control in this suit
1S--2D--3N--4D--,5D,ASK control in this suit
1S--2D--3N--,4H,2 aces
1S--2D--3N--4H--,4N,Which aces?
1S--2D--3N--4H--4N--,5C,!C + !D
1S--2D--3N--4H--4N--,5D,!H + !S
1S--2D--3N--4H--4N--,5H,!S+!D or !H+!C
1S--2D--3N--4H--4N--,5S,!S+!C or !H+!D
1S--2D--3N--4H--,4S,ASK control in this suit
1S--2D--3N--4H--,5C,ASK control in this suit
1S--2D--3N--4H--,5D,ASK control in this suit
1S--2D--3N--4H--,5H,ASK control in this suit
1S--2D--3N--,4S,3 aces
1S--2D--3N--4S--,4N,Which ace missing?
1S--2D--3N--4S--,5C,ASK control in this suit
1S--2D--3N--4S--,5D,ASK control in this suit
1S--2D--3N--4S--,5H,ASK control in this suit
1S--2D--3N--4S--,5S,ASK control in this suit
1S--2D--,3S,16-20HcP; 5332 dist
1S--2D--,4C,16-20HcP; 4-5-3-1; 4-5-4-0
1S--2D--,4D,16-20HcP; 4-5-1-3; 4-5-0-4
1S--,2H,10+HcP; 4+!H; Canape'
1S--2H--,2N,12-15HcP; 5!S + 3!H; 5-3-2-3; 5-3-3-2
1S--2H--,2S,12-15HcP; 5!S + 2!H; 5-2-3-3
1S--2H--,3C,14-20HcP; 5+!C
1S--2H--,3D,14-20HcP; 5+!D
1S--2H--,3H,16-17HcP; 4-5-2-2
1S--2H--,3N,16-20HcP; 5!S + 3!H; 5-3-2-3; 5-3-3-2
1S--2H--,3S,16-20HcP; 5!S + 2!H; 5-2-3-3
1S--2H--,4C,16-20HcP; 4-5-3-1; 4-5-4-0
1S--2H--,4D,16-20HcP; 4-5-1-3; 4-5-0-4
1S--2H--,4H,18-20HcP; 4-5-2-2
1S--,2N,11-12HcP; bal
1S--,2S,0-9HcP; 4+!S
1S--,3C,12+HcP; 5+!C
1S--,3D,12+HcP; 5+!D
1S--,3H,11-14HcP; 5+!H; 1+ Top-honors
1S--,4H,Signoff
2C2D,2H,Weak; 5+!H; Signoff unless short suit
2C2D,2N,Positive; 1-2 cards in opps. ASK short
2C2D2NDb,3C,0-1!C
2C2D2NDb3C--,3D,ASK trump
2C2D2NDb3C--3D--,3H,Minimum;weak supp
2C2D2NDb3C--3D--,3N,MAXIMUM;weak supp
2C2D2NDb3C--3D--,3S,Minimum;GOOD supp  2 TOP-HONORs\\
2C2D2NDb3C--3D--,4C,MAXIMUM;GOOD supp  2 TOP-HONORs\\
2C2D2NDb3C--,3H,ASK trump
2C2D2NDb3C--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
2C2D2NDb3C--3H--,3S,Minimum;weak supp
2C2D2NDb3C--3H--,4C,MAXIMUM;weak supp
2C2D2NDb3C--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
2C2D2NDb3C--,3N,Signoff
2C2D2NDb3C--,3S,ASK trump
2C2D2NDb3C--3S--,3N,Minimum;weak supp
2C2D2NDb3C--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3C--3S--,4D,MAXIMUM;weak supp
2C2D2NDb3C--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3C--,4H,Signoff
2C2D2NDb3C--,4S,Signoff
2C2D2NDb3C--,5C,Signoff
2C2D2NDb3C--,5D,Signoff
2C2D2NDb,3D,0-1!D
2C2D2NDb3D--,3H,ASK trump
2C2D2NDb3D--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
2C2D2NDb3D--3H--,3S,Minimum;weak supp
2C2D2NDb3D--3H--,4C,MAXIMUM;weak supp
2C2D2NDb3D--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
2C2D2NDb3D--,3N,Signoff
2C2D2NDb3D--,3S,ASK trump
2C2D2NDb3D--3S--,3N,Minimum;weak supp
2C2D2NDb3D--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3D--3S--,4D,MAXIMUM;weak supp
2C2D2NDb3D--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3D--,4C,ASK trump
2C2D2NDb3D--4C--,4D,Minimum;weak supp
2C2D2NDb3D--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3D--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3D--4C--,4S,MAXIMUM;weak supp
2C2D2NDb3D--,4H,Signoff
2C2D2NDb3D--,4S,Signoff
2C2D2NDb3D--,5C,Signoff
2C2D2NDb3D--,5D,Signoff
2C2D2NDb,3H,0-1!H
2C2D2NDb3H--,3N,Signoff
2C2D2NDb3H--,3S,ASK trump
2C2D2NDb3H--3S--,3N,Minimum;weak supp
2C2D2NDb3H--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3H--3S--,4D,MAXIMUM;weak supp
2C2D2NDb3H--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3H--,4C,ASK trump
2C2D2NDb3H--4C--,4D,Minimum;weak supp
2C2D2NDb3H--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3H--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
2C2D2NDb3H--4C--,4S,MAXIMUM;weak supp
2C2D2NDb3H--,4D,ASK trump
